tracker_id,frames_tracked,time_tracked_sec,total_distance_m,avg_velocity_ms,max_velocity_ms,max_velocity_kmh,sprints
26,290,9.666666666666666,73.85,5.88,11.92,42.9,82
511,92,3.066666666666667,59.79,9.7,11.95,43.0,12
500,95,3.1666666666666665,55.1,8.44,11.77,42.4,12
502,87,2.9,49.41,8.04,11.94,43.0,17
313,210,7.0,46.83,5.21,11.8,42.5,66
291,129,4.3,41.94,6.7,11.56,41.6,42
322,189,6.3,40.87,5.16,11.53,41.5,48
293,133,4.433333333333334,39.42,6.68,11.81,42.5,45
364,91,3.033333333333333,37.9,7.76,11.73,42.2,31
539,71,2.3666666666666667,35.8,7.28,11.68,42.0,19
346,147,4.9,34.74,5.62,11.6,41.7,38
503,67,2.2333333333333334,34.09,8.78,11.92,42.9,19
280,106,3.533333333333333,33.85,7.56,11.82,42.5,46
5,83,2.7666666666666666,30.96,6.46,11.77,42.4,31
21,71,2.3666666666666667,26.67,7.53,11.85,42.6,27
10,73,2.433333333333333,26.08,6.3,11.43,41.1,22
403,117,3.9,24.11,6.05,11.73,42.2,46
109,62,2.066666666666667,24.03,7.43,11.68,42.0,18
440,74,2.466666666666667,20.41,7.35,11.82,42.6,38
404,115,3.8333333333333335,20.19,4.26,11.67,42.0,21
442,73,2.433333333333333,13.38,3.95,10.13,36.5,8
