competition,season,competition_id,season_id,match_id,date,home_team,away_team,home_score,away_score
Champions League,2017/2018,16,1,18245,2018-05-26,Real Madrid,Liverpool,3,1
Champions League,2016/2017,16,2,18244,2017-06-03,Juventus,Real Madrid,1,4
Champions League,2015/2016,16,27,18243,2016-05-28,Real Madrid,Atlético Madrid,1,1
Champions League,2013/2014,16,25,18241,2014-05-24,Real Madrid,Atlético Madrid,4,1
Copa del Rey,1982/1983,87,268,3888721,1983-06-04,Barcelona,Real Madrid,2,1
La Liga,2020/2021,11,90,3773497,2021-04-10,Real Madrid,Barcelona,2,1
La Liga,2020/2021,11,90,3773585,2020-10-24,Barcelona,Real Madrid,1,3
La Liga,2019/2020,11,42,303596,2019-12-18,Barcelona,Real Madrid,0,0
La Liga,2019/2020,11,42,303470,2020-03-01,Real Madrid,Barcelona,2,0
La Liga,2018/2019,11,4,16196,2019-03-02,Real Madrid,Barcelona,0,1
La Liga,2017/2018,11,1,9924,2018-05-06,Barcelona,Real Madrid,2,2
La Liga,2017/2018,11,1,9736,2017-12-23,Real Madrid,Barcelona,0,3
La Liga,2016/2017,11,2,267569,2017-04-23,Real Madrid,Barcelona,2,3
La Liga,2016/2017,11,2,267076,2016-12-03,Barcelona,Real Madrid,1,1
La Liga,2015/2016,11,27,3825846,2016-05-14,RC Deportivo La Coruña,Real Madrid,0,2
La Liga,2015/2016,11,27,3825833,2016-04-16,Getafe,Real Madrid,1,5
La Liga,2015/2016,11,27,3825820,2016-03-20,Real Madrid,Sevilla,4,0
La Liga,2015/2016,11,27,3825757,2016-01-31,Real Madrid,Espanyol,6,0
La Liga,2015/2016,11,27,3825798,2016-03-02,Levante UD,Real Madrid,1,3
La Liga,2015/2016,11,27,3825787,2016-02-27,Real Madrid,Atlético Madrid,0,1
La Liga,2015/2016,11,27,3825785,2016-02-21,Málaga,Real Madrid,1,1
La Liga,2015/2016,11,27,3825770,2016-02-13,Real Madrid,Athletic Club,4,2
La Liga,2015/2016,11,27,3825678,2015-11-29,Eibar,Real Madrid,0,2
La Liga,2015/2016,11,27,3825643,2015-10-31,Real Madrid,Las Palmas,3,1
La Liga,2015/2016,11,27,3825572,2015-08-29,Real Madrid,Real Betis,5,0
La Liga,2015/2016,11,27,3825700,2015-12-20,Real Madrid,Rayo Vallecano,10,2
La Liga,2015/2016,11,27,3825695,2015-12-13,Villarreal,Real Madrid,1,0
La Liga,2015/2016,11,27,3825681,2015-12-05,Real Madrid,Getafe,4,1
La Liga,2015/2016,11,27,3825661,2015-11-08,Sevilla,Real Madrid,3,2
La Liga,2015/2016,11,27,3825901,2016-05-08,Real Madrid,Valencia,3,2
La Liga,2015/2016,11,27,3825893,2016-04-20,Real Madrid,Villarreal,3,0
La Liga,2015/2016,11,27,3825886,2016-04-23,Rayo Vallecano,Real Madrid,2,3
La Liga,2015/2016,11,27,3825879,2016-03-13,Las Palmas,Real Madrid,1,2
La Liga,2015/2016,11,27,3825864,2016-04-30,Real Sociedad,Real Madrid,0,1
La Liga,2015/2016,11,27,3825856,2016-04-09,Real Madrid,Eibar,4,0
La Liga,2015/2016,11,27,3825806,2016-03-05,Real Madrid,Celta Vigo,7,1
La Liga,2015/2016,11,27,3825764,2016-02-07,Granada,Real Madrid,1,2
La Liga,2015/2016,11,27,3825746,2016-01-24,Real Betis,Real Madrid,1,1
La Liga,2015/2016,11,27,3825739,2016-01-17,Real Madrid,Sporting Gijón,5,1
La Liga,2015/2016,11,27,3825724,2016-01-09,Real Madrid,RC Deportivo La Coruña,5,0
La Liga,2015/2016,11,27,3825718,2016-01-03,Valencia,Real Madrid,2,2
La Liga,2015/2016,11,27,3825710,2015-12-30,Real Madrid,Real Sociedad,3,1
La Liga,2015/2016,11,27,3825635,2015-10-24,Celta Vigo,Real Madrid,1,3
La Liga,2015/2016,11,27,3825625,2015-10-17,Real Madrid,Levante UD,3,0
La Liga,2015/2016,11,27,3825621,2015-10-04,Atlético Madrid,Real Madrid,1,1
La Liga,2015/2016,11,27,3825606,2015-09-26,Real Madrid,Málaga,0,0
La Liga,2015/2016,11,27,3825602,2015-09-23,Athletic Club,Real Madrid,1,2
La Liga,2015/2016,11,27,3825590,2015-09-19,Real Madrid,Granada,1,0
La Liga,2015/2016,11,27,3825581,2015-09-12,Espanyol,Real Madrid,0,6
La Liga,2015/2016,11,27,3825567,2015-08-23,Sporting Gijón,Real Madrid,0,0
La Liga,2015/2016,11,27,267533,2016-04-02,Barcelona,Real Madrid,1,2
La Liga,2015/2016,11,27,266424,2015-11-21,Real Madrid,Barcelona,0,4
La Liga,2014/2015,11,26,267183,2015-03-22,Barcelona,Real Madrid,2,1
La Liga,2014/2015,11,26,267085,2014-10-25,Real Madrid,Barcelona,3,1
La Liga,2013/2014,11,25,70293,2013-10-26,Barcelona,Real Madrid,2,1
La Liga,2013/2014,11,25,265857,2014-03-23,Real Madrid,Barcelona,3,4
La Liga,2012/2013,11,24,70272,2013-03-02,Real Madrid,Barcelona,2,1
La Liga,2012/2013,11,24,70300,2012-10-07,Barcelona,Real Madrid,2,2
La Liga,2011/2012,11,23,69324,2012-04-21,Barcelona,Real Madrid,1,2
La Liga,2011/2012,11,23,69334,2011-12-10,Real Madrid,Barcelona,1,3
La Liga,2010/2011,11,22,69245,2011-04-16,Real Madrid,Barcelona,1,1
La Liga,2010/2011,11,22,69299,2010-11-29,Barcelona,Real Madrid,5,0
La Liga,2009/2010,11,21,69259,2010-04-10,Real Madrid,Barcelona,0,2
La Liga,2009/2010,11,21,69262,2009-11-29,Barcelona,Real Madrid,1,0
La Liga,2008/2009,11,41,69225,2008-12-13,Barcelona,Real Madrid,2,0
La Liga,2008/2009,11,41,69249,2009-05-02,Real Madrid,Barcelona,2,6
La Liga,2007/2008,11,40,68361,2008-05-07,Real Madrid,Barcelona,4,1
La Liga,2006/2007,11,39,68335,2007-03-10,Barcelona,Real Madrid,3,3
La Liga,2006/2007,11,39,68330,2006-10-22,Real Madrid,Barcelona,2,0
La Liga,2005/2006,11,38,68319,2005-11-19,Real Madrid,Barcelona,0,3
La Liga,1973/1974,11,278,3888713,1974-02-17,Real Madrid,Barcelona,0,5
